spkid,targetname,datetime_jd,e,a,incl,q,M,pha,H,diameter,albedo,moid
20004179,4179 Toutatis (1989 AC),2457540.5,0.6293674637287456,2.534716219112403,0.4471204439876818,0.9394483010175144,316.0892384487136,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457570.5,0.6293680055475437,2.534762290604524,0.447128492991434,0.9394640032296316,323.4174476105525,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457600.5,0.629370505957214,2.534827080439118,0.4471531102342245,0.9394816783091028,330.7456495975485,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457630.5,0.6293785161652592,2.534921698563176,0.4471702473346166,0.9394964413263666,338.0737987371708,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457660.5,0.6293888733705713,2.535015054766713,0.4471805905876846,0.939504785469654,345.401073794407,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457690.5,0.6293993218650079,2.535096489232256,0.4471857138836703,0.9395084780471118,352.7273933050759,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457720.5,0.629412711209648,2.535188956250896,0.4471857268357208,0.9395088018682608,0.0528703177508948,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457750.5,0.6294410442470868,2.535394395432997,0.4471907929761819,0.9395130995934396,7.376676468540065,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457780.5,0.6294452036969477,2.535473093080395,0.4471928080901841,0.939531715538276,14.69968140547888,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457810.5,0.6294333381488448,2.535437497212787,0.4471971285280271,0.9395486096743904,22.02394067063198,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457840.5,0.6294260597510432,2.535442001909692,0.4472008842679695,0.9395687329203776,29.34785620242355,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457870.5,0.6294215025178828,2.535477296299442,0.4472090869994801,0.9395933668626686,36.67104867930998,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457900.5,0.6294200893205665,2.535563908159469,0.4472410113562863,0.9396290466077312,43.99242752110688,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457930.5,0.6294177558753845,2.53570883270668,0.4472878739821564,0.9396886696710504,51.31111806135403,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457960.5,0.6294097713567909,2.535894702444501,0.4473425822141485,0.9397777975940108,58.62714205502442,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2457990.5,0.6293932020137626,2.536120640432193,0.4474088446887732,0.939903549857381,65.94011422228638,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458020.5,0.6293637039667029,2.536379998491323,0.447474184489625,0.9400744879737634,73.25011014699002,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458050.5,0.6293209883867596,2.536652765646437,0.4475411015156505,0.9402839399758136,80.55785812969133,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458080.5,0.6292663791795905,2.536941451137995,0.4476205072008695,0.9405294899897736,87.86291695118595,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458110.5,0.629197268484712,2.537252704490238,0.4477055766650338,0.9408202333695318,95.16484654211018,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458140.5,0.6291126835477335,2.537580308764431,0.4477954765641466,0.9411563509997536,102.4639367800761,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458170.5,0.6290103532827759,2.53792902066441,0.4478873695452558,0.9415453907696804,109.7598220907748,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458200.5,0.6288850647558587,2.538301049616993,0.4479677215760212,0.9420014296587462,117.0528394042062,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458230.5,0.6287380246965045,2.538682764871686,0.4480341228234414,0.9425163779552016,124.3442758771268,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458260.5,0.6285723824043743,2.539068544906567,0.4480863465353718,0.943080180546638,131.6344644036009,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458290.5,0.62838992687913,2.539455709434383,0.4481214218228685,0.9436873218701218,138.9237869298346,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458320.5,0.6281973411231665,2.539834267225072,0.4481413708075972,0.944317133660776,146.2127217989257,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458350.5,0.6279971041736836,2.540206447501267,0.4481456823909147,0.944964154467151,153.5005184195091,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458380.5,0.6277856592506696,2.540580122055753,0.4481341314897099,0.9456403552518352,160.7869989690563,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458410.5,0.6275643720979448,2.540953080897061,0.4481077087989635,0.9463414561535584,168.0728280032999,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458440.5,0.6273331902255486,2.541327501596413,0.4480693242289034,0.947068412612012,175.3581288387644,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458470.5,0.6270914719392602,2.541706621771154,0.4480269626916983,0.9478240750869174,182.6437061605868,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458500.5,0.6268481703114485,2.542080455459683,0.4479798686965033,0.9485819731702868,189.9304644837467,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458530.5,0.6266102597852047,2.542442100124334,0.4479276942720324,0.9493217952765834,197.217866009867,Y,15.29,5.4,0.405,0.00651
20004179,4179 Toutatis (1989 AC),2458560.5,0.6263794510355686,2.542791556910012,0.4478764315722521,0.9500391773948396,204.5054171846712,Y,15.29,5.4,0.405,0.00651
